!CSV A.01.01
!Keysight Technologies,N5247B,MY58422921,A.14.80.08
!Date: Wednesday, April 12, 2023 05:37:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
40000000000,-4.5539374,67.536552,-77.761093,70.727966,-15.726078,102.05601,-12.059772,-109.95718
40060000000,-4.5048985,63.184059,-56.962906,43.494381,-15.538341,73.916107,-8.2965279,171.95882
40120000000,-4.5912771,58.454281,-57.309795,-31.883976,-15.969814,45.828785,-5.0847626,127.66431
40180000000,-4.5333204,53.777382,-59.534817,-55.20668,-16.833389,21.917261,-3.7417114,96.684387
40240000000,-4.6134915,49.544044,-57.066223,-46.785385,-17.410921,1.3412791,-3.5396309,72.367744
40300000000,-4.6001558,44.545933,-57.622082,-148.35356,-17.642187,-17.225044,-3.9134104,49.876568
40360000000,-4.5989122,40.402336,-57.558739,-67.906815,-17.451073,-35.792133,-4.8175592,26.792025
40420000000,-4.6863055,35.652283,-61.129372,-103.5567,-16.74367,-55.790749,-6.4150329,-2.3478246
40480000000,-4.6510172,31.100044,-54.576931,-88.149292,-15.841004,-80.042053,-8.7270765,-45.03952
40540000000,-4.7560878,26.988096,-52.569157,-161.09767,-15.119794,-107.49716,-10.225369,-112.46854
40600000000,-4.7788086,21.973499,-58.266201,147.76114,-15.086007,-136.85208,-7.9465013,-178.80379
40660000000,-4.7792306,17.324137,-52.89267,104.49632,-15.606429,-164.2207,-5.7986927,136.80496
40720000000,-4.8675175,12.415849,-52.646408,71.693085,-16.241985,171.00894,-4.6770167,104.38783
40780000000,-4.8367224,7.6993923,-52.565159,99.916,-16.703484,149.60384,-4.348568,78.386681
40840000000,-4.8680048,3.2396891,-55.771477,37.823189,-16.848921,129.12744,-4.466917,54.172653
40900000000,-4.903327,-1.6534221,-52.31749,32.525494,-16.658695,108.16875,-4.9733281,29.32069
40960000000,-4.8863702,-6.0054522,-57.315105,-10.868213,-16.153215,86.363846,-5.9490371,-0.87350672
41020000000,-4.9476023,-10.654572,-54.768681,-32.1917,-15.588027,61.923405,-7.2622237,-40.337444
41080000000,-4.9458404,-15.608144,-54.616184,-49.145412,-15.204157,33.799049,-8.5248871,-93.51712
41140000000,-5.0054822,-19.954815,-52.939423,-78.109856,-15.344086,5.8268962,-8.0581713,-153.24715
41200000000,-5.0286803,-24.700289,-52.674244,-81.300568,-15.938115,-22.247911,-6.722229,158.34232
41260000000,-5.0639391,-29.720823,-50.184742,-139.44446,-16.633152,-45.839935,-5.5981922,121.70338
41320000000,-5.084269,-34.704834,-57.499344,-176.25247,-17.235815,-67.623146,-4.9880843,92.48632
41380000000,-5.0918074,-39.983742,-58.887962,-173.72336,-17.524479,-87.717812,-4.7588692,65.941681
41440000000,-5.0800605,-44.668839,-58.465233,93.162025,-17.51189,-106.70047,-4.7629995,39.794056
41500000000,-5.1044068,-49.650261,-53.779636,-119.72174,-17.29793,-128.93375,-5.0992894,10.84544
41560000000,-5.1127801,-54.568741,-58.541767,-146.08078,-16.663971,-151.63974,-5.7396679,-22.709761
41620000000,-5.1563129,-59.501083,-53.978451,-173.13704,-16.129641,-176.89127,-6.8493772,-64.238808
41680000000,-5.1269188,-64.229645,-59.350414,112.561,-16.085361,155.85239,-7.8681512,-115.78625
41740000000,-5.1864481,-69.159851,-50.260338,144.59882,-16.363926,129.56358,-7.883626,-169.08908
41800000000,-5.2644863,-74.569695,-54.147923,87.444336,-16.814404,104.49235,-7.0200114,144.61606
41860000000,-5.2562146,-79.498108,-59.016415,71.618713,-17.29726,81.119926,-6.1156373,108.18874
41920000000,-5.3139744,-85.000587,-57.343796,81.856705,-17.697285,60.249023,-5.4117265,77.404762
41980000000,-5.3078847,-90.371689,-52.48243,35.690552,-17.699278,39.074245,-5.0113487,49.285404
42040000000,-5.3638167,-95.389656,-53.860867,50.344868,-17.54323,18.168633,-4.9260616,21.101225
42100000000,-5.3414035,-100.74962,-50.846397,-24.687529,-17.244926,-4.7957344,-5.2622099,-8.7189522
42160000000,-5.3451467,-105.11769,-53.821617,-40.776608,-16.891174,-29.05411,-6.228086,-43.53323
42220000000,-5.4263697,-110.58873,-56.508411,-92.229576,-16.626238,-55.127441,-7.7681255,-86.419495
42280000000,-5.393353,-115.43655,-46.979229,-81.653175,-16.727575,-81.975601,-9.1932755,-138.97743
42340000000,-5.4696469,-120.16987,-47.370365,-109.26385,-17.070839,-108.12776,-9.0149784,164.66176
42400000000,-5.4644971,-125.72224,-46.05901,-142.77711,-17.538691,-132.4261,-7.6191654,118.70798
42460000000,-5.5237527,-130.463,-47.088531,-175.51056,-18.024685,-154.5544,-6.2636018,82.06916
42520000000,-5.6342673,-136.65161,-45.372555,175.81319,-18.315483,-176.70076,-5.2994795,52.506699
42580000000,-5.486659,-141.74664,-47.17712,143.78015,-18.427031,161.97165,-4.9498124,24.594343
42640000000,-5.5438886,-146.16592,-48.555275,113.74056,-18.336306,140.05655,-5.0365338,-3.4307287
42700000000,-5.5579519,-151.35724,-46.422729,111.4268,-18.022154,117.183,-5.8578429,-33.946945
42760000000,-5.5838041,-156.14981,-47.405743,72.321373,-17.815653,92.741699,-7.5151954,-71.128708
42820000000,-5.5801892,-161.5242,-46.207661,43.282925,-17.681013,66.702499,-9.8379869,-120.82778
42880000000,-5.5160832,-165.93547,-45.90715,41.120495,-18.004644,41.403542,-10.358896,173.34857
42940000000,-5.6654296,-171.22675,-47.407265,25.239752,-18.253984,15.236059,-8.2250576,119.82781
43000000000,-5.5656309,-176.46967,-45.951897,-18.052544,-18.811182,-7.9696894,-6.1891141,81.329277
43060000000,-5.6327534,178.90714,-47.771709,-57.22905,-19.181032,-29.902401,-4.8713527,51.622761
43120000000,-5.6282353,173.3177,-47.621323,-89.287987,-19.557449,-51.786335,-4.3480849,25.267025
