!CSV A.01.01
!Keysight Technologies,N5247B,MY58422921,A.14.80.08
!Date: Wednesday, April 12, 2023 05:38:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
40000000000,-4.8053865,69.661041,-47.003895,-177.6093,-15.601964,105.42931,-12.696572,-105.57423
40060000000,-4.4244466,67.158424,-40.765495,111.03581,-15.442409,78.933342,-8.1767874,175.3598
40120000000,-4.8266597,61.040699,-43.140778,-1.1151105,-15.808456,50.200531,-5.2617431,129.5316
40180000000,-4.3006711,55.98093,-56.619564,-130.59529,-17.012289,24.505392,-3.5046,99.033157
40240000000,-4.5307813,51.892696,-44.779644,-11.04108,-17.259907,5.3744106,-3.5527284,75.707771
40300000000,-4.3057246,47.665188,-46.834942,-87.898743,-17.577738,-12.989165,-3.7913113,51.366016
40360000000,-4.5641723,43.847549,-51.911659,-177.80307,-17.148903,-32.414814,-4.7554154,30.849991
40420000000,-4.5280209,37.938534,-45.372204,13.005169,-16.61989,-52.27055,-6.4963546,0.32582608
40480000000,-4.78581,37.975006,-40.913948,164.71176,-15.850252,-76.384323,-8.5057049,-38.965599
40540000000,-4.7944245,30.312263,-49.757519,-33.626682,-15.249503,-102.53394,-10.807934,-109.66903
40600000000,-4.4430261,26.081568,-45.762852,96.780815,-15.248257,-133.92822,-7.8137012,-174.06985
40660000000,-4.945725,20.580837,-43.13179,176.96587,-15.358187,-159.44336,-6.0349183,138.83652
40720000000,-4.7452884,13.966246,-48.950031,-124.26639,-16.158901,174.31833,-4.380589,106.52747
40780000000,-4.7631807,10.823031,-43.506844,82.154137,-16.562441,152.88173,-4.3369422,81.794495
40840000000,-4.6705647,4.7244349,-48.854565,28.234041,-17.123842,134.12794,-4.3131318,56.057209
40900000000,-4.7507324,3.2295985,-43.838139,24.914618,-16.805824,113.49091,-4.816258,33.833553
40960000000,-4.8175316,-3.3703043,-52.149052,-116.13477,-16.08378,91.041962,-6.018312,1.2528056
41020000000,-4.4191442,-6.0453539,-37.711704,-173.59583,-15.411008,64.195671,-7.0251765,-36.002556
41080000000,-4.8861561,-12.548849,-44.583805,-47.992062,-15.289132,38.784809,-9.0664177,-90.492058
41140000000,-4.6524143,-18.439924,-42.871853,-120.96841,-15.181831,8.4704065,-7.7751269,-150.35056
41200000000,-5.2006564,-19.088398,-40.617153,-107.80375,-15.823001,-18.086376,-6.8061175,161.15959
41260000000,-4.9945788,-27.624004,-50.00312,162.58405,-16.55372,-46.079727,-5.335361,123.54471
41320000000,-4.7226772,-30.800892,-53.273716,-160.57486,-17.239769,-63.390816,-4.8792763,96.525642
41380000000,-5.2800632,-36.44067,-41.410091,142.1609,-17.625692,-83.808075,-4.5346541,67.962967
41440000000,-4.6394076,-41.446854,-51.658875,176.28059,-17.539169,-103.94713,-4.5164585,44.912922
41500000000,-5.1189704,-45.366589,-44.44965,-70.036957,-17.022785,-122.83672,-5.237473,14.140551
41560000000,-4.9870696,-52.094273,-55.552448,1.1635451,-16.734617,-150.61328,-5.6149135,-19.438862
41620000000,-4.9891458,-54.586357,-43.458042,136.43246,-16.465963,-174.95096,-7.0938191,-59.594349
41680000000,-5.0652404,-60.628483,-41.763531,113.25613,-15.971728,159.5798,-8.0089579,-114.76331
41740000000,-4.6052046,-63.410145,-43.974834,49.14772,-16.721527,135.36647,-7.9324341,-165.65761
41800000000,-5.2834334,-68.470345,-44.328861,61.899124,-16.700825,110.1048,-6.8364019,145.40825
41860000000,-5.1030126,-77.397285,-37.751862,-11.240375,-17.033491,87.80648,-6.0392375,112.73531
41920000000,-5.234179,-80.575119,-48.72953,-34.089687,-17.293253,62.631321,-5.4572687,80.727989
41980000000,-5.4095931,-89.060005,-50.220089,0.27572456,-17.872223,39.96928,-4.8517222,53.631123
42040000000,-5.035203,-92.861061,-47.403492,-103.92182,-17.729753,21.001415,-5.2631207,24.400152
42100000000,-5.3154292,-98.489677,-43.383518,-171.83981,-16.951767,-2.8447199,-5.3004727,-5.5201716
42160000000,-5.060976,-100.89133,-44.478851,34.986012,-17.140966,-23.683319,-6.4353271,-39.840382
42220000000,-5.1209269,-104.84628,-42.382809,-12.976966,-16.259182,-49.0695,-7.9735427,-85.827454
